locus_tag	gene	product	go_terms
EQU24_RS07395	rplT	50S ribosomal protein L20	['GO:1903506', 'GO:2000112', 'GO:0006518', 'GO:0006996', 'GO:0010558', 'GO:0090079', 'GO:0010468', 'GO:0032268', 'GO:0022626', 'GO:0008152', 'GO:2001141', 'GO:0080090', 'GO:0009987', 'GO:0043170', 'GO:0005886', 'GO:1901566', 'GO:0044271', 'GO:0044238', 'GO:0016020', 'GO:0044464', 'GO:0045182', 'GO:0048519', 'GO:0019843', 'GO:0043933', 'GO:0034622', 'GO:0050789', 'GO:0070925', 'GO:0031324', 'GO:0003723', 'GO:0005198', 'GO:0071840', 'GO:0051252', 'GO:0034248', 'GO:0006417', 'GO:0051248', 'GO:0070180', 'GO:0022625', 'GO:0097159', 'GO:0043604', 'GO:0031327', 'GO:0005488', 'GO:0051171', 'GO:1901564', 'GO:0010467', 'GO:0019219', 'GO:0006355', 'GO:0031326', 'GO:0043603', 'GO:0043043', 'GO:0043226', 'GO:0022613', 'GO:1901363', 'GO:0060255', 'GO:0044444', 'GO:0008150', 'GO:0044267', 'GO:0050794', 'GO:0003729', 'GO:0042254', 'GO:0003674', 'GO:0034249', 'GO:0003735', 'GO:0017148', 'GO:0044391', 'GO:0032991', 'GO:0022607', 'GO:0009892', 'GO:0005737', 'GO:0010556', 'GO:0005622', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0010608', 'GO:2000113', 'GO:0030371', 'GO:0034645', 'GO:0051172', 'GO:0065007', 'GO:0003676', 'GO:0042273', 'GO:0051246', 'GO:0009058', 'GO:0005829', 'GO:0022618', 'GO:0034641', 'GO:1990904', 'GO:0005623', 'GO:0044446', 'GO:0044445', 'GO:0071944', 'GO:0031323', 'GO:0009889', 'GO:1901576', 'GO:0009059', 'GO:0000027', 'GO:0006412', 'GO:0010605', 'GO:0010629', 'GO:0071826', 'GO:0043232', 'GO:0065003', 'GO:0044422', 'GO:0015934', 'GO:0042255', 'GO:0044085', 'GO:0005840', 'GO:0000900', 'GO:0005575', 'GO:0019222', 'GO:0043228', 'GO:0048523', 'GO:0044237', 'GO:0009890', 'GO:0043229', 'GO:0032269', 'GO:0071704', 'GO:0044249', 'GO:0016043', 'GO:0019538']
EQU24_RS07400	pheS	phenylalanine--tRNA ligase subunit alpha	['GO:0006520', 'GO:0006518', 'GO:0043038', 'GO:0006725', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:1901566', 'GO:0000287', 'GO:0044271', 'GO:0004826', 'GO:0044238', 'GO:0005524', 'GO:0044464', 'GO:0043436', 'GO:0090304', 'GO:0006432', 'GO:0000049', 'GO:0043604', 'GO:0019752', 'GO:1901564', 'GO:0010467', 'GO:0016070', 'GO:0043603', 'GO:0016874', 'GO:0043043', 'GO:1901360', 'GO:0044444', 'GO:0008150', 'GO:0044267', 'GO:0046483', 'GO:0003674', 'GO:0032991', 'GO:0005737', 'GO:0006399', 'GO:0005622', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0016875', 'GO:0034645', 'GO:0034660', 'GO:0140101', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:0005623', 'GO:1902494', 'GO:0009059', 'GO:1901576', 'GO:0004812', 'GO:0006412', 'GO:0003824', 'GO:0006139', 'GO:0006082', 'GO:0140098', 'GO:0005575', 'GO:0009328', 'GO:0044281', 'GO:0044237', 'GO:0043039', 'GO:0071704', 'GO:0044249', 'GO:0019538', 'GO:0006418']
EQU24_RS07405	pheT	phenylalanine--tRNA ligase subunit beta	['GO:0006520', 'GO:0006518', 'GO:0043038', 'GO:0006725', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:1901566', 'GO:0000287', 'GO:0044271', 'GO:0004826', 'GO:0044238', 'GO:0005524', 'GO:0044464', 'GO:0043436', 'GO:0090304', 'GO:0006432', 'GO:0000049', 'GO:0043604', 'GO:0005488', 'GO:0019752', 'GO:1901564', 'GO:0010467', 'GO:0005515', 'GO:0016070', 'GO:0043603', 'GO:0016874', 'GO:0043043', 'GO:1901360', 'GO:0044444', 'GO:0008150', 'GO:0044267', 'GO:0046483', 'GO:0003674', 'GO:0032991', 'GO:0005737', 'GO:0006399', 'GO:0005622', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0016875', 'GO:0042802', 'GO:0034645', 'GO:0034660', 'GO:0140101', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:0005623', 'GO:1902494', 'GO:0009059', 'GO:1901576', 'GO:0004812', 'GO:0006412', 'GO:0003824', 'GO:0006139', 'GO:0006082', 'GO:0140098', 'GO:0005575', 'GO:0009328', 'GO:0044281', 'GO:0044237', 'GO:0043039', 'GO:0071704', 'GO:0044249', 'GO:0019538', 'GO:0006418']
EQU24_RS07410	ihfA	integration host factor subunit alpha	['GO:0010604', 'GO:0006351', 'GO:1903506', 'GO:0001216', 'GO:2000112', 'GO:0001067', 'GO:1990837', 'GO:0010558', 'GO:0009891', 'GO:0003677', 'GO:0045935', 'GO:0010468', 'GO:0006725', 'GO:0080090', 'GO:0008152', 'GO:2001141', 'GO:0009987', 'GO:0031325', 'GO:0043170', 'GO:0051253', 'GO:1903507', 'GO:0044271', 'GO:0044238', 'GO:0048519', 'GO:0044464', 'GO:0050789', 'GO:0090304', 'GO:0031324', 'GO:1903508', 'GO:1902679', 'GO:0140110', 'GO:0044212', 'GO:0045934', 'GO:0051252', 'GO:0031328', 'GO:0006417', 'GO:0097159', 'GO:0019438', 'GO:0031327', 'GO:0005488', 'GO:0051171', 'GO:0010467', 'GO:0019219', 'GO:0006355', 'GO:0032774', 'GO:0016070', 'GO:0031326', 'GO:0000976', 'GO:0034654', 'GO:1901363', 'GO:1902680', 'GO:1901360', 'GO:0060255', 'GO:0044444', 'GO:0048518', 'GO:0008150', 'GO:0050794', 'GO:0046483', 'GO:0003674', 'GO:0032991', 'GO:0048522', 'GO:0009892', 'GO:0005737', 'GO:0006310', 'GO:0010556', 'GO:0005622', 'GO:0044260', 'GO:0044424', 'GO:0006807', 'GO:0097659', 'GO:2000113', 'GO:0001217', 'GO:1901362', 'GO:0003700', 'GO:0010628', 'GO:0034645', 'GO:0051172', 'GO:0018130', 'GO:0043565', 'GO:0065007', 'GO:0003676', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:0045893', 'GO:0045892', 'GO:0010557', 'GO:0005623', 'GO:0071704', 'GO:0051173', 'GO:0031323', 'GO:0009889', 'GO:1901576', 'GO:0009059', 'GO:0010605', 'GO:0010629', 'GO:0003690', 'GO:0032993', 'GO:0051254', 'GO:0006139', 'GO:0005575', 'GO:0019222', 'GO:0048523', 'GO:0044237', 'GO:0009890', 'GO:0001130', 'GO:0009893', 'GO:0044249']
EQU24_RS07415		MerR family transcriptional regulator	['GO:0006355', 'GO:0003677']
EQU24_RS07420			[]
EQU24_RS07425		hypothetical protein	[]
EQU24_RS07430		aminoacyl-tRNA hydrolase	['GO:0005737', 'GO:0005622', 'GO:0006515', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0009056', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0006508', 'GO:0140101', 'GO:0016788', 'GO:0016787', 'GO:0044238', 'GO:0044464', 'GO:0005623', 'GO:0044265', 'GO:0044248', 'GO:0006412', 'GO:0009057', 'GO:0044257', 'GO:0030163', 'GO:1901575', 'GO:0004045', 'GO:0003824', 'GO:0019538', 'GO:1901564', 'GO:0052689', 'GO:0140098', 'GO:0005575', 'GO:0044237', 'GO:0051603', 'GO:0071704', 'GO:0008150', 'GO:0044267', 'GO:1901565', 'GO:0003674']
EQU24_RS07435		hypothetical protein	[]
EQU24_RS07440		Bax inhibitor-1/YccA family protein	['GO:0005623', 'GO:0071944', 'GO:0016021', 'GO:0030162', 'GO:0044425', 'GO:0031224', 'GO:0008150', 'GO:0051171', 'GO:0080090', 'GO:0065007', 'GO:0006508', 'GO:0008233', 'GO:0005886', 'GO:0005575', 'GO:0019222', 'GO:0051246', 'GO:0016020', 'GO:0060255', 'GO:0044464', 'GO:0050789']
EQU24_RS07445		DUF4007 family protein	[]
EQU24_RS07450		hypothetical protein	[]
EQU24_RS07455		2-oxoisovalerate dehydrogenase E1 subunit beta	[]
EQU24_RS07460		type II toxin-antitoxin system HicA family toxin	['GO:0003729']
EQU24_RS07465		DUF4351 domain-containing protein	[]
EQU24_RS07480		phosphoadenosine phosphosulfate reductase family protein	['GO:0016740']
EQU24_RS07485		IS66 family transposase	[]
EQU24_RS07490		DUF4007 family protein	[]
EQU24_RS07495		hypothetical protein	[]
EQU24_RS07500		MazF family transcriptional regulator	['GO:0003677']
EQU24_RS07505		hypothetical protein	[]
EQU24_RS07510		hypothetical protein	[]
EQU24_RS07515		PglZ domain-containing protein	['GO:0003824']
EQU24_RS07520	brxL	BREX system Lon protease-like protein BrxL	['GO:0006508', 'GO:0005524', 'GO:0004176', 'GO:0004252', 'GO:0030163']
EQU24_RS07525		hypothetical protein	[]
EQU24_RS07530		hypothetical protein	['GO:0006355', 'GO:0016853']
EQU24_RS07535		type II toxin-antitoxin system RelE/ParE family toxin	[]
EQU24_RS07545		BrnT family toxin	[]
EQU24_RS07550		antitoxin	[]
EQU24_RS07570		hypothetical protein	[]
EQU24_RS07575		type II toxin-antitoxin system RelE/ParE family toxin	[]
EQU24_RS07580		AAA family ATPase	[]
EQU24_RS07585		HigA family addiction module antidote protein	['GO:0003677']
EQU24_RS07590		curli production assembly protein CsgG	['GO:0030288']
EQU24_RS07595		DUF4810 domain-containing protein	['GO:0005515', 'GO:0016021']
EQU24_RS07600		hypothetical protein	[]
EQU24_RS07610		HigA family addiction module antidote protein	['GO:0003677']
EQU24_RS07615		hypothetical protein	[]
EQU24_RS07620		hypothetical protein	[]
EQU24_RS07625		hypothetical protein	[]
EQU24_RS07630		DNA phosphorothioation-associated putative methyltransferase	['GO:0008168', 'GO:0032259']
EQU24_RS07635		aminotransferase class V-fold PLP-dependent enzyme	['GO:0031071', 'GO:0044571', 'GO:0051537', 'GO:0046872', 'GO:0030170']
EQU24_RS07640		group II truncated hemoglobin	['GO:0015671', 'GO:0020037', 'GO:0019825']
EQU24_RS07645		M48 family metallopeptidase	['GO:0016787']
EQU24_RS07650		redoxin domain-containing protein	['GO:0016491', 'GO:0045454', 'GO:0016021', 'GO:0016853', 'GO:0098869', 'GO:0016209', 'GO:0005623', 'GO:0055114']
EQU24_RS07655		spermidine synthase	['GO:0016021', 'GO:0016740', 'GO:0006596']
EQU24_RS07660		antibiotic biosynthesis monooxygenase	['GO:0005737', 'GO:0005622', 'GO:0004497', 'GO:0044424', 'GO:0002952', 'GO:0003824', 'GO:0055114', 'GO:0008150', 'GO:0008152', 'GO:0016491', 'GO:0005575', 'GO:0005829', 'GO:0016853', 'GO:0044444', 'GO:0044464', 'GO:0005623', 'GO:0003674']
EQU24_RS07665		iron-containing alcohol dehydrogenase	['GO:0046872', 'GO:0016491', 'GO:0055114']
EQU24_RS07670	ppk1	polyphosphate kinase 1	['GO:0006799', 'GO:0016310', 'GO:0009358', 'GO:0046872', 'GO:0008976', 'GO:0005524']
EQU24_RS07675		conjugation transfer protein	['GO:0020037', 'GO:0098869', 'GO:0022900', 'GO:0046872', 'GO:0004601', 'GO:0009055']
EQU24_RS07680		hypothetical protein	['GO:0046872']
EQU24_RS07685		diguanylate cyclase	['GO:0000160']
EQU24_RS07690		response regulator	['GO:0000160']
EQU24_RS07695		PAS domain S-box protein	['GO:0000155', 'GO:0000160', 'GO:0018106', 'GO:0006355', 'GO:0005515', 'GO:0016021', 'GO:0023014', 'GO:0005524']
EQU24_RS07700		PAS domain S-box protein	['GO:0005524', 'GO:0000155', 'GO:0000160', 'GO:0018106', 'GO:0023014', 'GO:0005515']
EQU24_RS07705		response regulator	['GO:0016787', 'GO:0000160']
EQU24_RS07710		PAS domain S-box protein	['GO:0000155', 'GO:0000160', 'GO:0018106', 'GO:0006355', 'GO:0005515', 'GO:0016021', 'GO:0023014', 'GO:0005524']
EQU24_RS07715		PAS domain S-box protein	['GO:0023014', 'GO:0000155', 'GO:0005515', 'GO:0000160']
EQU24_RS07720		MBL fold metallo-hydrolase	['GO:0016787']
EQU24_RS07725		hypothetical protein	[]
EQU24_RS07730		ATP-binding protein	['GO:0005524']
EQU24_RS07735		hypothetical protein	[]
EQU24_RS07740		STAS domain-containing protein	['GO:0043856', 'GO:0045893']
EQU24_RS07745		methyl-accepting chemotaxis protein	['GO:0007165', 'GO:0004888', 'GO:0006935', 'GO:0016021']
EQU24_RS07750		chemotaxis response regulator protein-glutamate methylesterase	['GO:0052116', 'GO:0019899', 'GO:0052216', 'GO:0052192', 'GO:0052195', 'GO:0009605', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0005886', 'GO:0018277', 'GO:0052126', 'GO:1990827', 'GO:0016020', 'GO:0044238', 'GO:0044464', 'GO:0070988', 'GO:0044403', 'GO:0044419', 'GO:0008984', 'GO:0052127', 'GO:0006464', 'GO:0043412', 'GO:0040011', 'GO:0140096', 'GO:0005488', 'GO:0042330', 'GO:0051704', 'GO:0051723', 'GO:1901564', 'GO:0005515', 'GO:0006482', 'GO:0044444', 'GO:0000156', 'GO:0008150', 'GO:0044267', 'GO:0003674', 'GO:0005737', 'GO:0005622', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0051701', 'GO:0050896', 'GO:0042221', 'GO:0050568', 'GO:0005829', 'GO:0016788', 'GO:0016787', 'GO:0005623', 'GO:0006935', 'GO:0071944', 'GO:0000160', 'GO:0036211', 'GO:0003824', 'GO:0008214', 'GO:0052143', 'GO:0052689', 'GO:0005575', 'GO:0052243', 'GO:0044237', 'GO:0071704', 'GO:0019538']
EQU24_RS07755	cheD	chemoreceptor glutamine deamidase CheD	['GO:0006935', 'GO:0009605', 'GO:0042221', 'GO:0050568', 'GO:0040011', 'GO:0008150', 'GO:0050896', 'GO:0042330']
EQU24_RS07760		chemotaxis protein CheR	['GO:0008171', 'GO:0008276', 'GO:0005737', 'GO:0008757', 'GO:0005622', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0043414', 'GO:0008168', 'GO:0050896', 'GO:0009605', 'GO:0006479', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0008213', 'GO:0005886', 'GO:0008022', 'GO:0042221', 'GO:0005829', 'GO:0016020', 'GO:0044238', 'GO:0044464', 'GO:0016740', 'GO:0005623', 'GO:0006935', 'GO:0071944', 'GO:0006464', 'GO:0043412', 'GO:0098561', 'GO:0036211', 'GO:0040011', 'GO:0008983', 'GO:0140096', 'GO:0005488', 'GO:0003824', 'GO:0042330', 'GO:0051998', 'GO:1901564', 'GO:0010340', 'GO:0016741', 'GO:0005515', 'GO:0005575', 'GO:0032259', 'GO:0044237', 'GO:0044444', 'GO:0071704', 'GO:0008150', 'GO:0044267', 'GO:0019538', 'GO:0032991', 'GO:0003674']
EQU24_RS07765		STAS domain-containing protein	[]
EQU24_RS07770		chemotaxis protein CheW	['GO:0010604', 'GO:0019904', 'GO:0003674', 'GO:0005737', 'GO:0051179', 'GO:0005622', 'GO:0044424', 'GO:0051247', 'GO:0031399', 'GO:1901875', 'GO:0050896', 'GO:0009605', 'GO:0032268', 'GO:0080090', 'GO:0065007', 'GO:0009987', 'GO:0031325', 'GO:0032270', 'GO:0031401', 'GO:0005886', 'GO:0042221', 'GO:0005829', 'GO:0051246', 'GO:0009893', 'GO:0016020', 'GO:0044464', 'GO:0005623', 'GO:0050789', 'GO:0023052', 'GO:0051649', 'GO:0006935', 'GO:0071944', 'GO:0051173', 'GO:0031323', 'GO:0007165', 'GO:1901873', 'GO:0051641', 'GO:0098561', 'GO:0040011', 'GO:0005488', 'GO:0042330', 'GO:0051716', 'GO:0007154', 'GO:0051171', 'GO:0051234', 'GO:0005515', 'GO:0005575', 'GO:0019222', 'GO:0060255', 'GO:0044444', 'GO:0048518', 'GO:0008150', 'GO:0050794', 'GO:0032991', 'GO:0048522']
EQU24_RS07775		PAS domain S-box protein	['GO:0009454', 'GO:0052131', 'GO:0004888', 'GO:0050896', 'GO:0042802', 'GO:0009605', 'GO:0065007', 'GO:0009987', 'GO:0005886', 'GO:0042221', 'GO:0016020', 'GO:0044464', 'GO:0005623', 'GO:0050789', 'GO:0023052', 'GO:0006935', 'GO:0071944', 'GO:0007165', 'GO:0016021', 'GO:0040011', 'GO:0005488', 'GO:0042330', 'GO:0051716', 'GO:0007154', 'GO:0009453', 'GO:0050918', 'GO:0005515', 'GO:0005575', 'GO:0052128', 'GO:0008150', 'GO:0050794', 'GO:0003674']
EQU24_RS07780		purine-binding chemotaxis protein CheW	['GO:0007165', 'GO:0006935']
EQU24_RS07785		chemotaxis protein CheA	['GO:0010604', 'GO:0016310', 'GO:0048583', 'GO:0051179', 'GO:0016772', 'GO:0051247', 'GO:0031399', 'GO:0006796', 'GO:1901875', 'GO:0009605', 'GO:0031400', 'GO:0008152', 'GO:0032268', 'GO:0080090', 'GO:0009987', 'GO:0031325', 'GO:0032270', 'GO:0018106', 'GO:0043170', 'GO:0005886', 'GO:0006468', 'GO:0035304', 'GO:0044238', 'GO:0046777', 'GO:0023014', 'GO:0005524', 'GO:0044464', 'GO:0016020', 'GO:0048519', 'GO:0050789', 'GO:0031324', 'GO:0050920', 'GO:1901873', 'GO:0006464', 'GO:0006793', 'GO:0043412', 'GO:0051248', 'GO:0098561', 'GO:0051641', 'GO:0016301', 'GO:0040011', 'GO:0140096', 'GO:0051716', 'GO:0042330', 'GO:0005488', 'GO:0051171', 'GO:0035303', 'GO:1901564', 'GO:0005515', 'GO:0032101', 'GO:0018202', 'GO:0060255', 'GO:0044444', 'GO:0048518', 'GO:0016773', 'GO:0044267', 'GO:0050794', 'GO:0008150', 'GO:0032991', 'GO:0003674', 'GO:0048522', 'GO:0004672', 'GO:0035307', 'GO:0019904', 'GO:0009892', 'GO:0005737', 'GO:0035306', 'GO:0005622', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:1902021', 'GO:0032879', 'GO:0010562', 'GO:0050896', 'GO:0035556', 'GO:0000155', 'GO:0051172', 'GO:0065007', 'GO:0031401', 'GO:0045937', 'GO:2000145', 'GO:0042221', 'GO:0051246', 'GO:0005829', 'GO:0016740', 'GO:0005623', 'GO:0051270', 'GO:0051174', 'GO:0023052', 'GO:0051649', 'GO:0006935', 'GO:0018193', 'GO:0000160', 'GO:0071944', 'GO:0051173', 'GO:0031323', 'GO:0071704', 'GO:0007165', 'GO:0016775', 'GO:0010605', 'GO:0036211', 'GO:0003824', 'GO:0007154', 'GO:0051234', 'GO:0005575', 'GO:0019222', 'GO:0048523', 'GO:0019220', 'GO:0044237', 'GO:0004673', 'GO:0032269', 'GO:0009893', 'GO:0040012', 'GO:0019538']
EQU24_RS07790		response regulator	['GO:0003677', 'GO:0000160']
EQU24_RS07795		hypothetical protein	['GO:0008168', 'GO:0016021']
EQU24_RS07800		GGDEF domain-containing protein	[]
EQU24_RS07805	cysN	sulfate adenylyltransferase subunit CysN	['GO:0003924', 'GO:0008152', 'GO:0009987', 'GO:0005525', 'GO:0000103', 'GO:0006790', 'GO:0044237', 'GO:0004781', 'GO:0070814', 'GO:0005524', 'GO:0008150']
EQU24_RS07810		four helix bundle protein	['GO:0005840']
EQU24_RS07815	cysD	sulfate adenylyltransferase subunit CysD	['GO:0019419', 'GO:0006520', 'GO:0006807', 'GO:0016772', 'GO:0004781', 'GO:0046394', 'GO:0008152', 'GO:0009987', 'GO:0009070', 'GO:0000103', 'GO:0006790', 'GO:0000096', 'GO:1901566', 'GO:0070814', 'GO:0009058', 'GO:0044238', 'GO:0005524', 'GO:0016740', 'GO:0043436', 'GO:0016053', 'GO:0016779', 'GO:1901576', 'GO:1901607', 'GO:0009069', 'GO:0070566', 'GO:0000097', 'GO:0044272', 'GO:0044283', 'GO:0003824', 'GO:0019344', 'GO:0008150', 'GO:0019752', 'GO:1901564', 'GO:1901605', 'GO:0006082', 'GO:0008652', 'GO:0044281', 'GO:0044237', 'GO:0004779', 'GO:0071704', 'GO:0044249', 'GO:0006534', 'GO:0003674']
EQU24_RS07820	acs	acetate--CoA ligase	['GO:0019427', 'GO:0016208', 'GO:0046872', 'GO:0003987', 'GO:0005524']
EQU24_RS07825		hypothetical protein	['GO:0008473']
EQU24_RS07830		tRNA glutamyl-Q(34) synthetase GluQRS	['GO:0000166', 'GO:0003674', 'GO:0006399', 'GO:0034470', 'GO:0046872', 'GO:0006807', 'GO:0043168', 'GO:0043169', 'GO:0008144', 'GO:0006725', 'GO:0008152', 'GO:0034660', 'GO:0006400', 'GO:0009987', 'GO:0043170', 'GO:0043167', 'GO:0034641', 'GO:0044238', 'GO:0005524', 'GO:0090304', 'GO:0032553', 'GO:0030554', 'GO:0008033', 'GO:0036094', 'GO:0046914', 'GO:0006412', 'GO:0004812', 'GO:0008270', 'GO:0043412', 'GO:0097159', 'GO:0006396', 'GO:0005488', 'GO:0006139', 'GO:0010467', 'GO:0035639', 'GO:0009451', 'GO:0016070', 'GO:0032555', 'GO:1901265', 'GO:1901363', 'GO:0044237', 'GO:1901360', 'GO:0002097', 'GO:0017076', 'GO:0043039', 'GO:0071704', 'GO:0008150', 'GO:0032559', 'GO:0046483', 'GO:0097367']
EQU24_RS07835	dksA	RNA polymerase-binding protein DksA	['GO:0005737', 'GO:0005622', 'GO:0005575', 'GO:0044424', 'GO:0008270', 'GO:0005829', 'GO:0044444', 'GO:0044464', 'GO:0005623', 'GO:0010468']
EQU24_RS07840		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	['GO:0008483', 'GO:0030170', 'GO:0009058']
EQU24_RS07845		peroxiredoxin	['GO:0098869', 'GO:0045454', 'GO:0004601', 'GO:0005623', 'GO:0055114', 'GO:0051920']
EQU24_RS07855		hypothetical protein	[]
EQU24_RS07860		class 1 fructose-bisphosphatase	['GO:0019319', 'GO:0005737', 'GO:0005984', 'GO:0005622', 'GO:0009311', 'GO:0044424', 'GO:0005986', 'GO:0006094', 'GO:0006796', 'GO:0019637', 'GO:0016791', 'GO:0008152', 'GO:0019203', 'GO:0009987', 'GO:0044262', 'GO:0005829', 'GO:0000287', 'GO:0009058', 'GO:0016788', 'GO:0006000', 'GO:0016787', 'GO:0005975', 'GO:0044238', 'GO:0044464', 'GO:0046351', 'GO:0005623', 'GO:0019318', 'GO:1901135', 'GO:0050308', 'GO:0042132', 'GO:0046364', 'GO:1901576', 'GO:0006793', 'GO:0006006', 'GO:0030388', 'GO:0042578', 'GO:0034637', 'GO:0044283', 'GO:0003824', 'GO:0016051', 'GO:0008150', 'GO:0005985', 'GO:0005575', 'GO:0044281', 'GO:0016311', 'GO:0044237', 'GO:0009312', 'GO:0006002', 'GO:0044444', 'GO:0071704', 'GO:0044249', 'GO:0005996', 'GO:0003674']
EQU24_RS07865		hypothetical protein	['GO:0016021']
EQU24_RS07870		alpha-amylase	['GO:0009018', 'GO:0005975']
EQU24_RS07875		MBL fold metallo-hydrolase	['GO:0004416']
EQU24_RS07880		sulfite exporter TauE/SafE family protein	['GO:0005886', 'GO:0016021']
EQU24_RS07885		SDR family oxidoreductase	['GO:0003824', 'GO:0050662']
EQU24_RS07890		acetate kinase	['GO:0008776', 'GO:0005623', 'GO:0006085', 'GO:0016310', 'GO:0006082', 'GO:0005737', 'GO:0005622', 'GO:0005575', 'GO:0044424', 'GO:0000287', 'GO:0005524', 'GO:0044464']
EQU24_RS07895		phosphoketolase family protein	['GO:0016832', 'GO:0005975']
EQU24_RS07900		Gfo/Idh/MocA family oxidoreductase	['GO:0016491', 'GO:0055114']
EQU24_RS07905		DegT/DnrJ/EryC1/StrS family aminotransferase	['GO:0047310', 'GO:0080100']
EQU24_RS07910		lipid-A-disaccharide synthase	['GO:0005737', 'GO:0005622', 'GO:0009311', 'GO:0043168', 'GO:0044424', 'GO:0046467', 'GO:0009247', 'GO:1901271', 'GO:0006796', 'GO:0019637', 'GO:0008152', 'GO:0009987', 'GO:0008654', 'GO:0043167', 'GO:0009245', 'GO:0005829', 'GO:0006664', 'GO:0009058', 'GO:0008289', 'GO:0006643', 'GO:0005975', 'GO:0044238', 'GO:0044255', 'GO:0044464', 'GO:0005623', 'GO:0090407', 'GO:1901135', 'GO:1901576', 'GO:0006629', 'GO:0006793', 'GO:0005488', 'GO:0006644', 'GO:0005543', 'GO:0016051', 'GO:0008915', 'GO:1903509', 'GO:0008150', 'GO:0046493', 'GO:1901269', 'GO:0005575', 'GO:0044237', 'GO:0009312', 'GO:1901137', 'GO:0044444', 'GO:0008610', 'GO:0071704', 'GO:0044249', 'GO:0003674']
EQU24_RS07915		hypothetical protein	[]
EQU24_RS07925		hypothetical protein	['GO:0016021']
EQU24_RS07930	recA	recombinase RecA	['GO:0010212', 'GO:0003697', 'GO:0006281', 'GO:0005737', 'GO:0051179', 'GO:0006310', 'GO:0005622', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0008094', 'GO:0071496', 'GO:0003677', 'GO:0006928', 'GO:0033554', 'GO:0009314', 'GO:0050896', 'GO:0006725', 'GO:0009605', 'GO:0006974', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0003676', 'GO:0005829', 'GO:0034641', 'GO:0044238', 'GO:0005524', 'GO:0044464', 'GO:0006259', 'GO:0005623', 'GO:0090304', 'GO:0009432', 'GO:0051674', 'GO:0006950', 'GO:0009991', 'GO:0048870', 'GO:0097159', 'GO:0040011', 'GO:0005488', 'GO:0051716', 'GO:0007154', 'GO:0006139', 'GO:0031668', 'GO:0005575', 'GO:1901363', 'GO:0044237', 'GO:0009628', 'GO:1901360', 'GO:0044444', 'GO:0003684', 'GO:0071704', 'GO:0008150', 'GO:0046483', 'GO:0003674']
EQU24_RS07935		regulatory protein RecX	['GO:0048583', 'GO:0005737', 'GO:0019899', 'GO:0071496', 'GO:2001020', 'GO:0033554', 'GO:0050896', 'GO:0009605', 'GO:0080090', 'GO:0006974', 'GO:0065007', 'GO:0009987', 'GO:0030234', 'GO:0050790', 'GO:0044092', 'GO:0050789', 'GO:0080134', 'GO:0009432', 'GO:0065009', 'GO:0006950', 'GO:0031323', 'GO:0098772', 'GO:0009991', 'GO:0080135', 'GO:0005488', 'GO:0051716', 'GO:0051052', 'GO:0008150', 'GO:0007154', 'GO:0051171', 'GO:0031668', 'GO:0019219', 'GO:0005515', 'GO:0019222', 'GO:0043086', 'GO:0060255', 'GO:0006282', 'GO:0050794', 'GO:0003674']
